id,urgencia,cliente,tipo_servico,origem,tempo_espera,descricao,status
2090,Média,Cliente B,Nuvem,Telefone,106,Solicitação de upgrade,Aberto
2091,Alta,Cliente I,Internet,Telefone,56,Instabilidade,Resolvido
2092,Crítica,Cliente F,Internet,App,173,Instabilidade,Resolvido
2093,Baixa,Cliente K,Internet,Telefone,118,Solicitação de reembolso,Aberto
2094,Média,Cliente D,Internet,Autoatendimento,121,Problema recorrente,Resolvido
2095,Média,Cliente E,Internet,WhatsApp,67,Queda de sinal,Aberto
2096,Alta,Cliente J,Nuvem,Telefone,67,Instabilidade,Aberto
2097,Média,Cliente E,TV,Telefone,172,Instabilidade,Em andamento
2098,Média,Cliente G,Internet,Email,73,Erro de cobrança,Resolvido
2099,Alta,Cliente I,Internet,Autoatendimento,167,Solicitação de reembolso,Resolvido
2100,Média,Cliente G,Internet,WhatsApp,158,Erro de cobrança,Em andamento
2101,Crítica,Cliente I,Nuvem,Telefone,76,Solicitação de reembolso,Aberto
2102,Média,Cliente D,Internet,Telefone,185,Solicitação de reembolso,Resolvido
2103,Baixa,Cliente J,Telefone,App,135,Reclamação atendimento,Resolvido
2104,Alta,Cliente J,Internet,Telefone,10,Queda de sinal,Resolvido
2105,Alta,Cliente D,Telefone,Telefone,151,Lentidão,Resolvido
2106,Média,Cliente F,Internet,App,175,Falha total,Aberto
2107,Alta,Cliente H,Internet,Autoatendimento,90,Solicitação de upgrade,Resolvido
2108,Crítica,Cliente I,Internet,Autoatendimento,32,Instabilidade,Aberto
2109,Baixa,Cliente A,Internet,Telefone,22,Mudança de endereço,Resolvido
2110,Crítica,Cliente A,Internet,WhatsApp,39,Mudança de endereço,Aberto
2111,Baixa,Cliente H,Telefone,Telefone,53,Solicitação de upgrade,Aberto
2112,Baixa,Cliente K,Internet,WhatsApp,148,Instabilidade,Em andamento
2113,Baixa,Cliente G,Internet,Autoatendimento,139,Instabilidade,Aberto
2114,Crítica,Cliente I,Internet,Telefone,175,Solicitação de reembolso,Aberto
2115,Média,Cliente K,Nuvem,WhatsApp,77,Lentidão,Em andamento
2116,Baixa,Cliente C,Telefone,Autoatendimento,84,Instabilidade,Em andamento
2117,Média,Cliente J,TV,Telefone,195,Reclamação atendimento,Em andamento
2118,Média,Cliente L,Internet,WhatsApp,80,Lentidão,Resolvido
2119,Baixa,Cliente E,Internet,App,39,Queda de sinal,Em andamento
2120,Alta,Cliente C,Internet,Autoatendimento,63,Solicitação de upgrade,Resolvido
2121,Alta,Cliente E,Telefone,Telefone,73,Queda de sinal,Aberto
2122,Média,Cliente J,Telefone,Telefone,175,Queda de sinal,Aberto
2123,Crítica,Cliente A,Nuvem,Email,164,Solicitação de upgrade,Resolvido
2124,Média,Cliente K,Nuvem,App,103,Lentidão,Aberto
2125,Crítica,Cliente D,Internet,App,172,Mudança de endereço,Aberto
2126,Média,Cliente F,Internet,Telefone,129,Reclamação atendimento,Resolvido
2127,Média,Cliente B,Internet,Telefone,159,Reclamação atendimento,Resolvido
2128,Baixa,Cliente G,Internet,Telefone,74,Falha total,Aberto
2129,Alta,Cliente H,Data Center,Telefone,64,Instabilidade,Resolvido
2130,Média,Cliente A,Internet,Email,159,Erro de cobrança,Aberto
2131,Baixa,Cliente D,Data Center,Autoatendimento,114,Solicitação de upgrade,Resolvido
2132,Baixa,Cliente K,Telefone,WhatsApp,84,Mudança de endereço,Aberto
2133,Média,Cliente D,Telefone,App,158,Erro de cobrança,Aberto
2134,Média,Cliente E,Internet,Telefone,195,Queda de sinal,Aberto
2135,Alta,Cliente L,TV,WhatsApp,23,Mudança de endereço,Resolvido
2136,Crítica,Cliente L,Telefone,Autoatendimento,164,Lentidão,Aberto
2137,Baixa,Cliente D,Internet,Autoatendimento,171,Solicitação de upgrade,Em andamento
2138,Alta,Cliente I,Internet,Autoatendimento,153,Problema recorrente,Aberto
2139,Baixa,Cliente G,Internet,Autoatendimento,27,Problema recorrente,Em andamento
2140,Alta,Cliente B,Telefone,Autoatendimento,160,Instabilidade,Em andamento
2141,Alta,Cliente A,Internet,WhatsApp,88,Mudança de endereço,Em andamento
2142,Média,Cliente I,TV,Email,131,Mudança de endereço,Resolvido
2143,Alta,Cliente A,TV,Autoatendimento,168,Problema recorrente,Resolvido
2144,Média,Cliente F,Internet,App,98,Reclamação atendimento,Aberto
2145,Média,Cliente B,TV,App,141,Falha total,Aberto
2146,Alta,Cliente D,Internet,Email,74,Erro de cobrança,Resolvido
2147,Média,Cliente F,TV,Telefone,173,Queda de sinal,Resolvido
2148,Média,Cliente E,Internet,Autoatendimento,44,Problema recorrente,Em andamento
2149,Média,Cliente K,Internet,Email,196,Instabilidade,Em andamento
2150,Alta,Cliente F,Internet,App,89,Queda de sinal,Aberto
2151,Média,Cliente C,TV,Telefone,98,Instabilidade,Em andamento
2152,Baixa,Cliente E,Internet,Email,167,Instabilidade,Aberto
2153,Alta,Cliente B,Internet,Autoatendimento,195,Mudança de endereço,Resolvido
2154,Alta,Cliente G,Internet,WhatsApp,41,Solicitação de reembolso,Aberto
2155,Baixa,Cliente C,Internet,Autoatendimento,151,Queda de sinal,Em andamento
2156,Baixa,Cliente A,TV,WhatsApp,192,Lentidão,Resolvido
2157,Baixa,Cliente H,Telefone,WhatsApp,188,Erro de cobrança,Aberto
2158,Média,Cliente H,Nuvem,Telefone,20,Queda de sinal,Em andamento
2159,Média,Cliente C,Internet,Autoatendimento,21,Problema recorrente,Resolvido
2160,Alta,Cliente G,Internet,App,120,Erro de cobrança,Em andamento
2161,Média,Cliente I,TV,WhatsApp,74,Lentidão,Resolvido
2162,Média,Cliente H,TV,WhatsApp,172,Solicitação de reembolso,Aberto
2163,Média,Cliente C,Internet,WhatsApp,187,Solicitação de upgrade,Aberto
2164,Alta,Cliente B,Telefone,App,83,Queda de sinal,Resolvido
2165,Média,Cliente J,TV,Autoatendimento,106,Solicitação de reembolso,Aberto
2166,Crítica,Cliente G,Internet,App,55,Solicitação de reembolso,Resolvido
2167,Média,Cliente G,TV,Autoatendimento,83,Problema recorrente,Em andamento
2168,Baixa,Cliente I,Internet,Autoatendimento,41,Problema recorrente,Em andamento
2169,Alta,Cliente E,Data Center,WhatsApp,101,Lentidão,Resolvido
2170,Média,Cliente D,Telefone,App,28,Queda de sinal,Resolvido
2171,Alta,Cliente H,Internet,Autoatendimento,142,Queda de sinal,Resolvido
2172,Baixa,Cliente D,Internet,Telefone,48,Erro de cobrança,Aberto
2173,Baixa,Cliente D,Data Center,WhatsApp,113,Solicitação de upgrade,Resolvido
2174,Alta,Cliente L,TV,Telefone,152,Mudança de endereço,Aberto
2175,Baixa,Cliente L,Internet,App,120,Reclamação atendimento,Resolvido
2176,Alta,Cliente B,Telefone,WhatsApp,60,Falha total,Aberto
2177,Baixa,Cliente A,Telefone,App,78,Falha total,Em andamento
2178,Média,Cliente D,Internet,Telefone,127,Lentidão,Aberto
2179,Alta,Cliente G,Internet,Telefone,8,Reclamação atendimento,Aberto
2180,Média,Cliente L,Telefone,WhatsApp,51,Queda de sinal,Resolvido
2181,Média,Cliente I,Internet,Telefone,105,Reclamação atendimento,Aberto
2182,Baixa,Cliente I,Internet,Email,67,Lentidão,Resolvido
2183,Baixa,Cliente L,TV,Telefone,132,Queda de sinal,Em andamento
2184,Média,Cliente J,Telefone,Telefone,107,Falha total,Aberto
2185,Média,Cliente A,Internet,App,168,Instabilidade,Em andamento
2186,Crítica,Cliente E,Internet,Email,8,Erro de cobrança,Resolvido
2187,Alta,Cliente G,Telefone,Autoatendimento,197,Erro de cobrança,Resolvido
2188,Alta,Cliente G,TV,App,184,Reclamação atendimento,Em andamento
2189,Alta,Cliente J,TV,WhatsApp,9,Instabilidade,Aberto
2190,Média,Cliente F,Internet,WhatsApp,33,Solicitação de reembolso,Aberto
2191,Baixa,Cliente K,Telefone,Telefone,20,Solicitação de upgrade,Resolvido
2192,Crítica,Cliente J,Nuvem,Telefone,119,Problema recorrente,Resolvido
2193,Alta,Cliente D,Internet,Email,141,Erro de cobrança,Aberto
2194,Média,Cliente C,Internet,Telefone,58,Erro de cobrança,Em andamento
2195,Baixa,Cliente L,TV,Autoatendimento,139,Queda de sinal,Resolvido
2196,Média,Cliente I,Internet,Telefone,92,Problema recorrente,Em andamento
2197,Média,Cliente L,Internet,Autoatendimento,22,Solicitação de reembolso,Resolvido
2198,Alta,Cliente J,Internet,Email,149,Erro de cobrança,Aberto
2199,Média,Cliente D,Internet,Autoatendimento,122,Problema recorrente,Resolvido
2200,Média,Cliente H,Internet,Telefone,133,Falha total,Em andamento
2201,Crítica,Cliente A,Internet,App,148,Mudança de endereço,Resolvido
2202,Baixa,Cliente G,Nuvem,WhatsApp,30,Mudança de endereço,Resolvido
2203,Média,Cliente L,Telefone,Telefone,72,Reclamação atendimento,Em andamento
2204,Baixa,Cliente F,Telefone,WhatsApp,65,Instabilidade,Em andamento
2205,Alta,Cliente L,Internet,Autoatendimento,140,Queda de sinal,Aberto
2206,Crítica,Cliente A,TV,Autoatendimento,34,Solicitação de upgrade,Resolvido
2207,Média,Cliente D,Internet,WhatsApp,26,Solicitação de reembolso,Resolvido
2208,Alta,Cliente L,TV,Email,162,Queda de sinal,Em andamento
2209,Média,Cliente E,Nuvem,App,27,Erro de cobrança,Aberto
2210,Crítica,Cliente K,TV,Email,37,Problema recorrente,Aberto
2211,Alta,Cliente H,Telefone,App,12,Problema recorrente,Resolvido
2212,Alta,Cliente D,TV,App,31,Solicitação de reembolso,Resolvido
2213,Baixa,Cliente C,Telefone,Email,58,Queda de sinal,Aberto
2214,Crítica,Cliente B,Internet,App,98,Problema recorrente,Resolvido
2215,Alta,Cliente D,Internet,WhatsApp,139,Problema recorrente,Resolvido
2216,Média,Cliente K,Data Center,Autoatendimento,26,Solicitação de upgrade,Aberto
2217,Alta,Cliente J,Internet,Autoatendimento,97,Instabilidade,Em andamento
2218,Média,Cliente D,Nuvem,Autoatendimento,197,Queda de sinal,Resolvido
2219,Alta,Cliente J,Internet,App,58,Queda de sinal,Aberto
2220,Baixa,Cliente E,Internet,WhatsApp,124,Solicitação de reembolso,Aberto
2221,Alta,Cliente G,TV,Email,35,Reclamação atendimento,Aberto
2222,Média,Cliente I,Internet,Telefone,87,Lentidão,Resolvido
2223,Baixa,Cliente B,TV,Telefone,55,Lentidão,Resolvido
2224,Baixa,Cliente E,TV,Autoatendimento,52,Solicitação de reembolso,Em andamento
2225,Baixa,Cliente K,Telefone,App,7,Mudança de endereço,Resolvido
2226,Média,Cliente J,Telefone,App,188,Problema recorrente,Resolvido
2227,Média,Cliente I,Internet,Email,55,Queda de sinal,Aberto
2228,Média,Cliente L,Internet,Autoatendimento,18,Lentidão,Aberto
2229,Média,Cliente C,Internet,Autoatendimento,155,Solicitação de reembolso,Aberto
2230,Média,Cliente A,Internet,Telefone,89,Solicitação de reembolso,Resolvido
2231,Alta,Cliente B,Nuvem,Telefone,138,Reclamação atendimento,Em andamento
2232,Baixa,Cliente F,Telefone,Email,3,Solicitação de reembolso,Resolvido
2233,Crítica,Cliente E,TV,Autoatendimento,21,Solicitação de reembolso,Aberto
2234,Alta,Cliente A,Telefone,WhatsApp,92,Solicitação de upgrade,Em andamento
2235,Média,Cliente A,Internet,WhatsApp,7,Problema recorrente,Aberto
2236,Média,Cliente K,Telefone,Telefone,120,Solicitação de upgrade,Em andamento
2237,Crítica,Cliente D,TV,Autoatendimento,80,Solicitação de reembolso,Aberto
2238,Baixa,Cliente L,Internet,App,56,Mudança de endereço,Resolvido
2239,Baixa,Cliente D,Nuvem,Telefone,49,Problema recorrente,Resolvido
2240,Baixa,Cliente F,Telefone,Email,59,Problema recorrente,Resolvido
2241,Alta,Cliente F,Internet,Autoatendimento,171,Falha total,Aberto
2242,Baixa,Cliente J,Telefone,Email,150,Queda de sinal,Resolvido
2243,Média,Cliente F,Internet,Autoatendimento,7,Problema recorrente,Resolvido
2244,Crítica,Cliente A,Internet,WhatsApp,31,Lentidão,Aberto
2245,Alta,Cliente J,TV,Telefone,152,Mudança de endereço,Resolvido
2246,Média,Cliente I,Nuvem,Autoatendimento,37,Problema recorrente,Resolvido
2247,Baixa,Cliente K,TV,Autoatendimento,111,Queda de sinal,Aberto
2248,Alta,Cliente G,Nuvem,App,122,Queda de sinal,Aberto
2249,Média,Cliente G,Nuvem,Autoatendimento,4,Reclamação atendimento,Aberto
2250,Baixa,Cliente K,Nuvem,WhatsApp,91,Erro de cobrança,Resolvido
2251,Baixa,Cliente G,Internet,WhatsApp,163,Solicitação de upgrade,Aberto
2252,Crítica,Cliente B,Telefone,Telefone,31,Queda de sinal,Aberto
2253,Média,Cliente B,Internet,Autoatendimento,116,Falha total,Resolvido
2254,Alta,Cliente F,Telefone,Autoatendimento,171,Mudança de endereço,Em andamento
2255,Alta,Cliente G,Data Center,WhatsApp,150,Erro de cobrança,Aberto
2256,Média,Cliente C,Internet,WhatsApp,119,Reclamação atendimento,Em andamento
2257,Média,Cliente D,Telefone,App,89,Mudança de endereço,Resolvido
2258,Média,Cliente L,Telefone,WhatsApp,5,Lentidão,Aberto
2259,Média,Cliente C,Internet,Email,178,Solicitação de upgrade,Aberto
2260,Média,Cliente G,Internet,Autoatendimento,177,Instabilidade,Aberto
2261,Alta,Cliente G,Telefone,WhatsApp,52,Erro de cobrança,Aberto
2262,Média,Cliente D,Internet,Autoatendimento,25,Solicitação de upgrade,Resolvido
2263,Crítica,Cliente G,Telefone,Telefone,47,Solicitação de upgrade,Resolvido
2264,Média,Cliente E,Telefone,Email,117,Queda de sinal,Resolvido
2265,Média,Cliente A,Telefone,Email,28,Solicitação de reembolso,Em andamento
2266,Média,Cliente J,Internet,Telefone,96,Falha total,Em andamento
2267,Média,Cliente D,Telefone,Email,112,Erro de cobrança,Aberto
2268,Alta,Cliente G,Internet,Telefone,180,Lentidão,Aberto
2269,Baixa,Cliente B,Nuvem,App,100,Instabilidade,Resolvido
2270,Média,Cliente B,Internet,Autoatendimento,117,Lentidão,Em andamento
2271,Baixa,Cliente A,Nuvem,Autoatendimento,21,Mudança de endereço,Aberto
2272,Média,Cliente B,TV,Email,81,Problema recorrente,Aberto
2273,Média,Cliente J,TV,WhatsApp,96,Problema recorrente,Em andamento
2274,Média,Cliente H,Internet,WhatsApp,147,Solicitação de reembolso,Resolvido
2275,Crítica,Cliente K,Internet,WhatsApp,137,Falha total,Em andamento
2276,Média,Cliente H,Internet,App,156,Instabilidade,Resolvido
2277,Alta,Cliente H,Internet,WhatsApp,15,Erro de cobrança,Resolvido
2278,Média,Cliente A,Nuvem,WhatsApp,147,Queda de sinal,Aberto
2279,Média,Cliente A,Internet,Email,66,Erro de cobrança,Resolvido
2280,Baixa,Cliente L,Data Center,App,160,Mudança de endereço,Aberto
2281,Baixa,Cliente J,TV,Telefone,21,Lentidão,Aberto
2282,Média,Cliente D,Internet,WhatsApp,71,Problema recorrente,Resolvido
2283,Média,Cliente F,TV,WhatsApp,46,Lentidão,Aberto
2284,Baixa,Cliente H,Internet,Autoatendimento,2,Erro de cobrança,Em andamento
2285,Baixa,Cliente B,Internet,WhatsApp,148,Solicitação de upgrade,Resolvido
2286,Baixa,Cliente C,Internet,Autoatendimento,40,Solicitação de upgrade,Resolvido
2287,Crítica,Cliente F,Nuvem,Autoatendimento,120,Reclamação atendimento,Aberto
2288,Média,Cliente J,Telefone,App,156,Erro de cobrança,Resolvido
2289,Média,Cliente D,TV,Autoatendimento,57,Queda de sinal,Resolvido
2290,Baixa,Cliente L,Internet,WhatsApp,145,Instabilidade,Em andamento
2291,Média,Cliente B,Telefone,Telefone,8,Queda de sinal,Resolvido
2292,Média,Cliente G,Internet,WhatsApp,21,Reclamação atendimento,Resolvido
2293,Baixa,Cliente D,Internet,Autoatendimento,160,Falha total,Resolvido
2294,Média,Cliente H,Internet,Telefone,85,Problema recorrente,Em andamento
2295,Baixa,Cliente H,Internet,App,80,Erro de cobrança,Aberto
2296,Baixa,Cliente G,TV,Telefone,154,Solicitação de reembolso,Resolvido
2297,Baixa,Cliente J,Internet,Telefone,111,Erro de cobrança,Aberto
2298,Baixa,Cliente I,Data Center,Telefone,2,Problema recorrente,Resolvido
2299,Baixa,Cliente D,Internet,Autoatendimento,146,Reclamação atendimento,Em andamento
2300,Média,Cliente G,Telefone,Telefone,81,Mudança de endereço,Resolvido
2301,Alta,Cliente J,Internet,Autoatendimento,28,Solicitação de reembolso,Em andamento
2302,Média,Cliente J,Internet,Telefone,120,Mudança de endereço,Resolvido
2303,Média,Cliente L,Data Center,App,124,Solicitação de upgrade,Aberto
2304,Média,Cliente A,Nuvem,WhatsApp,25,Lentidão,Aberto
2305,Crítica,Cliente D,TV,WhatsApp,191,Erro de cobrança,Resolvido
2306,Média,Cliente B,Nuvem,Autoatendimento,53,Problema recorrente,Em andamento
2307,Baixa,Cliente I,Nuvem,App,52,Lentidão,Em andamento
2308,Média,Cliente E,Telefone,Telefone,195,Solicitação de reembolso,Resolvido
2309,Baixa,Cliente C,Nuvem,App,58,Falha total,Resolvido
2310,Média,Cliente D,Internet,Autoatendimento,56,Instabilidade,Resolvido
2311,Média,Cliente F,Telefone,App,54,Solicitação de reembolso,Aberto
2312,Alta,Cliente J,TV,WhatsApp,90,Erro de cobrança,Resolvido
2313,Média,Cliente A,Internet,Autoatendimento,20,Instabilidade,Em andamento
2314,Alta,Cliente G,Nuvem,App,110,Falha total,Em andamento
2315,Crítica,Cliente H,Internet,Autoatendimento,142,Solicitação de reembolso,Resolvido
2316,Baixa,Cliente G,Nuvem,Email,30,Reclamação atendimento,Em andamento
2317,Baixa,Cliente G,Internet,App,135,Falha total,Resolvido
2318,Média,Cliente I,Internet,Autoatendimento,121,Queda de sinal,Resolvido
2319,Média,Cliente D,Internet,Telefone,130,Solicitação de reembolso,Resolvido
2320,Média,Cliente G,Nuvem,WhatsApp,153,Mudança de endereço,Resolvido
2321,Crítica,Cliente I,Internet,WhatsApp,75,Solicitação de reembolso,Em andamento
2322,Alta,Cliente E,Telefone,App,100,Queda de sinal,Aberto
2323,Média,Cliente B,Telefone,Email,7,Lentidão,Aberto
2324,Média,Cliente E,Internet,Telefone,177,Reclamação atendimento,Aberto
2325,Alta,Cliente D,Data Center,Email,149,Solicitação de upgrade,Resolvido
2326,Crítica,Cliente H,Internet,App,77,Problema recorrente,Aberto
2327,Alta,Cliente E,Telefone,Autoatendimento,68,Lentidão,Resolvido
2328,Baixa,Cliente I,Telefone,Autoatendimento,184,Reclamação atendimento,Resolvido
2329,Média,Cliente I,Internet,Telefone,19,Reclamação atendimento,Resolvido
2330,Baixa,Cliente C,Internet,App,22,Reclamação atendimento,Resolvido
2331,Baixa,Cliente J,TV,Autoatendimento,193,Queda de sinal,Aberto
2332,Baixa,Cliente F,Nuvem,App,166,Solicitação de upgrade,Resolvido
2333,Média,Cliente F,Internet,App,20,Mudança de endereço,Resolvido
2334,Alta,Cliente D,Internet,Autoatendimento,57,Erro de cobrança,Resolvido
2335,Baixa,Cliente K,Data Center,Telefone,191,Reclamação atendimento,Resolvido
2336,Média,Cliente J,Internet,Telefone,19,Mudança de endereço,Aberto
2337,Média,Cliente C,Telefone,Telefone,159,Erro de cobrança,Aberto
2338,Média,Cliente A,Telefone,Telefone,185,Problema recorrente,Resolvido
2339,Baixa,Cliente L,Internet,Email,107,Mudança de endereço,Resolvido
2340,Média,Cliente G,TV,WhatsApp,171,Problema recorrente,Aberto
2341,Alta,Cliente E,Data Center,App,54,Erro de cobrança,Resolvido
2342,Baixa,Cliente J,Telefone,Telefone,87,Solicitação de upgrade,Aberto
2343,Baixa,Cliente G,TV,WhatsApp,51,Problema recorrente,Resolvido
2344,Média,Cliente A,Telefone,Email,128,Solicitação de upgrade,Resolvido
2345,Crítica,Cliente H,Telefone,Telefone,5,Lentidão,Em andamento
2346,Média,Cliente C,Internet,Telefone,64,Solicitação de upgrade,Resolvido
2347,Alta,Cliente G,TV,WhatsApp,196,Problema recorrente,Aberto
2348,Média,Cliente L,Internet,App,114,Solicitação de reembolso,Em andamento
2349,Média,Cliente C,Internet,Telefone,57,Solicitação de upgrade,Aberto
2350,Baixa,Cliente C,Data Center,WhatsApp,178,Reclamação atendimento,Aberto
2351,Média,Cliente J,TV,App,151,Solicitação de upgrade,Aberto
2352,Crítica,Cliente I,Data Center,Autoatendimento,141,Solicitação de reembolso,Aberto
2353,Média,Cliente B,Internet,Telefone,178,Queda de sinal,Resolvido
2354,Alta,Cliente D,Nuvem,WhatsApp,14,Queda de sinal,Em andamento
2355,Alta,Cliente F,Telefone,Autoatendimento,106,Solicitação de upgrade,Aberto
2356,Baixa,Cliente C,Data Center,WhatsApp,34,Problema recorrente,Resolvido
2357,Crítica,Cliente L,Data Center,Autoatendimento,176,Falha total,Resolvido
2358,Baixa,Cliente J,Data Center,App,65,Problema recorrente,Resolvido
2359,Média,Cliente J,Data Center,Email,84,Reclamação atendimento,Resolvido
2360,Baixa,Cliente G,Internet,Autoatendimento,106,Problema recorrente,Resolvido
2361,Baixa,Cliente G,TV,Autoatendimento,146,Solicitação de upgrade,Em andamento
2362,Média,Cliente E,Internet,Email,35,Solicitação de reembolso,Aberto
2363,Média,Cliente C,TV,Telefone,69,Problema recorrente,Em andamento
2364,Média,Cliente B,Data Center,WhatsApp,40,Erro de cobrança,Em andamento
2365,Média,Cliente D,Internet,Telefone,130,Lentidão,Em andamento
2366,Baixa,Cliente D,Telefone,Autoatendimento,134,Solicitação de reembolso,Resolvido
2367,Baixa,Cliente K,TV,Telefone,41,Lentidão,Em andamento
2368,Média,Cliente H,Internet,Autoatendimento,64,Solicitação de reembolso,Resolvido
2369,Média,Cliente H,Internet,Telefone,130,Solicitação de upgrade,Resolvido
2370,Alta,Cliente E,Internet,Email,164,Instabilidade,Em andamento
2371,Média,Cliente F,Internet,WhatsApp,146,Solicitação de reembolso,Resolvido
2372,Alta,Cliente H,TV,WhatsApp,95,Falha total,Em andamento
2373,Alta,Cliente A,Telefone,Telefone,100,Queda de sinal,Em andamento
2374,Média,Cliente E,Internet,Telefone,61,Falha total,Resolvido
2375,Alta,Cliente D,Data Center,Autoatendimento,130,Reclamação atendimento,Aberto
2376,Baixa,Cliente D,TV,Telefone,133,Solicitação de upgrade,Em andamento
2377,Média,Cliente K,Telefone,WhatsApp,138,Mudança de endereço,Aberto
2378,Alta,Cliente B,Internet,Email,46,Queda de sinal,Resolvido
2379,Média,Cliente J,TV,Telefone,161,Solicitação de upgrade,Aberto
2380,Alta,Cliente A,Internet,WhatsApp,70,Lentidão,Resolvido
2381,Alta,Cliente F,TV,Autoatendimento,15,Problema recorrente,Em andamento
2382,Alta,Cliente G,TV,App,180,Erro de cobrança,Resolvido
2383,Crítica,Cliente E,Internet,App,152,Lentidão,Resolvido
2384,Média,Cliente H,Nuvem,Telefone,175,Mudança de endereço,Resolvido
2385,Média,Cliente I,Telefone,WhatsApp,156,Problema recorrente,Resolvido
2386,Média,Cliente K,Internet,WhatsApp,90,Solicitação de reembolso,Aberto
2387,Média,Cliente K,Data Center,Telefone,37,Queda de sinal,Resolvido
2388,Média,Cliente B,Internet,App,197,Mudança de endereço,Resolvido
2389,Alta,Cliente K,TV,Email,33,Queda de sinal,Aberto
2390,Alta,Cliente D,TV,WhatsApp,74,Solicitação de upgrade,Em andamento
2391,Média,Cliente K,Internet,WhatsApp,195,Problema recorrente,Aberto
2392,Baixa,Cliente I,Data Center,Autoatendimento,171,Falha total,Resolvido
2393,Média,Cliente E,Telefone,Autoatendimento,51,Instabilidade,Aberto
2394,Baixa,Cliente C,Internet,Telefone,58,Falha total,Resolvido
2395,Crítica,Cliente F,Nuvem,Autoatendimento,118,Instabilidade,Resolvido
2396,Média,Cliente C,Telefone,App,193,Problema recorrente,Aberto
2397,Baixa,Cliente E,TV,Telefone,175,Queda de sinal,Resolvido
2398,Baixa,Cliente C,Nuvem,App,112,Mudança de endereço,Resolvido
2399,Média,Cliente F,Internet,Email,90,Solicitação de upgrade,Em andamento
2400,Média,Cliente L,Internet,Email,105,Reclamação atendimento,Resolvido
2401,Média,Cliente J,Internet,Autoatendimento,55,Reclamação atendimento,Resolvido
2402,Baixa,Cliente E,Nuvem,Telefone,54,Instabilidade,Resolvido
2403,Média,Cliente I,Internet,Telefone,158,Queda de sinal,Aberto
2404,Média,Cliente C,Internet,App,166,Falha total,Em andamento
2405,Alta,Cliente F,Internet,App,70,Instabilidade,Resolvido
2406,Média,Cliente H,Internet,Autoatendimento,15,Solicitação de upgrade,Resolvido
2407,Média,Cliente G,TV,Telefone,156,Mudança de endereço,Resolvido
2408,Baixa,Cliente F,Data Center,WhatsApp,6,Solicitação de reembolso,Resolvido
2409,Crítica,Cliente B,Internet,Telefone,119,Solicitação de reembolso,Aberto
2410,Média,Cliente G,Internet,Email,173,Queda de sinal,Aberto
2411,Alta,Cliente H,TV,Email,144,Instabilidade,Resolvido
2412,Baixa,Cliente A,Internet,Email,68,Problema recorrente,Aberto
2413,Média,Cliente I,Data Center,WhatsApp,2,Solicitação de upgrade,Aberto
2414,Baixa,Cliente D,Telefone,WhatsApp,153,Solicitação de upgrade,Resolvido
2415,Média,Cliente H,Internet,Telefone,110,Queda de sinal,Resolvido
2416,Crítica,Cliente J,Data Center,Email,63,Lentidão,Resolvido
2417,Média,Cliente G,Internet,App,79,Problema recorrente,Resolvido
2418,Baixa,Cliente J,Internet,Autoatendimento,58,Queda de sinal,Aberto
2419,Baixa,Cliente G,Internet,Telefone,21,Falha total,Resolvido
2420,Média,Cliente B,Data Center,Autoatendimento,187,Lentidão,Resolvido
2421,Baixa,Cliente A,TV,Email,15,Instabilidade,Aberto
2422,Baixa,Cliente D,Internet,Autoatendimento,182,Problema recorrente,Resolvido
2423,Alta,Cliente L,Nuvem,WhatsApp,36,Problema recorrente,Aberto
2424,Média,Cliente B,Telefone,Telefone,191,Solicitação de upgrade,Aberto
2425,Média,Cliente H,Internet,Email,190,Erro de cobrança,Aberto
2426,Crítica,Cliente J,TV,Telefone,148,Lentidão,Em andamento
2427,Baixa,Cliente G,TV,Telefone,85,Solicitação de upgrade,Resolvido
2428,Crítica,Cliente H,Telefone,Telefone,43,Problema recorrente,Em andamento
2429,Média,Cliente K,Internet,Telefone,173,Mudança de endereço,Aberto
2430,Alta,Cliente F,Internet,Email,99,Falha total,Aberto
2431,Média,Cliente A,TV,Email,2,Instabilidade,Resolvido
2432,Alta,Cliente L,Nuvem,Telefone,69,Solicitação de upgrade,Aberto
2433,Crítica,Cliente I,TV,Telefone,105,Reclamação atendimento,Aberto
2434,Média,Cliente F,Nuvem,Autoatendimento,79,Solicitação de reembolso,Resolvido
2435,Crítica,Cliente L,TV,Email,175,Queda de sinal,Resolvido
2436,Média,Cliente J,Nuvem,Telefone,52,Solicitação de upgrade,Resolvido
2437,Média,Cliente A,Internet,App,33,Solicitação de upgrade,Resolvido
2438,Média,Cliente A,Internet,WhatsApp,101,Solicitação de reembolso,Em andamento
2439,Média,Cliente H,Telefone,WhatsApp,148,Instabilidade,Resolvido
2440,Baixa,Cliente F,Internet,Autoatendimento,40,Problema recorrente,Resolvido
2441,Média,Cliente H,TV,Autoatendimento,143,Falha total,Aberto
2442,Média,Cliente H,Nuvem,WhatsApp,158,Erro de cobrança,Em andamento
2443,Alta,Cliente K,Internet,Telefone,43,Problema recorrente,Aberto
2444,Alta,Cliente H,Data Center,Autoatendimento,15,Queda de sinal,Aberto
2445,Média,Cliente J,Telefone,Email,117,Erro de cobrança,Aberto
2446,Média,Cliente G,Telefone,Telefone,140,Erro de cobrança,Resolvido
2447,Baixa,Cliente G,Telefone,Telefone,76,Lentidão,Resolvido
2448,Baixa,Cliente J,Internet,Email,48,Lentidão,Em andamento
2449,Baixa,Cliente D,Internet,App,105,Reclamação atendimento,Aberto
